City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,sarkand,45.41,79.9186,46.53,29,0,2.57,KZ,1680573331
303,yar-sale,66.8333,70.8333,4.21,82,96,15.95,RU,1680573180
304,obo,5.3998,26.4869,68.38,76,53,4.38,CF,1680573331
305,bundaberg,-24.85,152.35,82.87,52,14,5.99,AU,1680573332
306,koutiala,12.3917,-5.4642,81.88,9,0,8.19,ML,1680573332
307,cayenne,4.9333,-52.3333,75.24,88,75,1.14,GF,1680573092
308,coria,39.9879,-6.5377,56.44,56,100,2.53,ES,1680573332
309,floro,61.5996,5.0328,40.96,70,100,12.66,NO,1680573332
310,coihaique,-45.5752,-72.0662,55.35,67,75,9.22,CL,1680573218
311,bubaque,11.2833,-15.8333,78.48,67,0,13.73,GW,1680573333
312,okhotsk,59.3833,143.3,19.38,89,100,18.63,RU,1680573333
313,tateyama,34.9833,139.8667,58.08,51,0,6.31,JP,1680573333
314,vitry-le-francois,48.7333,4.5833,36.01,90,0,9.08,FR,1680573333
315,ashtian,34.5217,50.0019,40.82,60,6,7.76,IR,1680573333
316,zemio,5.0314,25.1361,69.93,79,100,3.24,CF,1680573334
317,port hardy,50.6996,-127.4199,41.18,87,75,6.91,CA,1680573215
318,bandarbeyla,9.4942,50.8122,80.82,74,100,10.45,SO,1680573334
319,morgantown,39.6295,-79.9559,63.7,53,0,0.0,US,1680573334
320,canandaigua,42.8742,-77.288,49.77,80,100,4.32,US,1680573334
321,san francisco del rincon,21.0167,-101.85,79.32,26,26,8.93,MX,1680573196
322,cabra,37.4725,-4.4421,54.5,34,100,4.32,ES,1680573179
323,port augusta,-32.5,137.7667,80.31,18,38,2.93,AU,1680573335
324,chokurdakh,70.6333,147.9167,9.73,90,20,7.43,RU,1680573162
325,klaksvik,62.2266,-6.589,45.52,92,100,26.04,FO,1680573134
326,makakilo city,21.3469,-158.0858,82.72,62,75,16.11,US,1680573180
327,surt,31.2089,16.5887,60.06,52,0,15.32,LY,1680573335
328,shumikha,55.2261,63.2961,34.99,76,20,5.64,RU,1680573335
329,maceio,-9.6658,-35.7353,81.84,78,20,3.44,BR,1680573244
330,marzuq,14.4,46.4667,71.65,74,54,4.12,YE,1680573336
331,charleston,32.7766,-79.9309,68.27,93,100,3.44,US,1680573058
332,moerai,-22.4333,-151.3333,76.53,75,100,10.04,PF,1680573336
333,roebourne,-20.7833,117.1333,87.3,54,25,3.42,AU,1680573336
334,portobelo,9.55,-79.65,77.11,91,57,13.29,PA,1680573337
335,borculo,52.1158,6.5222,35.04,82,96,5.17,NL,1680573268
